model_id,dataset_id,batch_size,iteration,latency_ms,images_per_second,text_length_mean,text_length_max,generated_tokens_mean,generated_tokens_max
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,0,183.405,21.8097,14.0,30,6.25,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,1,151.5703,26.3904,18.5,31,6.75,10
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,2,262.823,15.2194,15.25,33,9.0,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,3,99.2745,40.2923,5.75,13,3.25,6
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,4,139.3331,28.7082,7.0,20,3.25,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,5,165.2516,24.2055,10.5,20,5.75,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,6,64.621,61.8994,5.5,7,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,7,173.0163,23.1192,10.5,19,5.5,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,8,160.484,24.9246,9.5,19,5.0,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,9,88.9516,44.9683,6.25,10,3.5,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,10,103.799,38.536,8.25,15,4.0,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,11,176.3816,22.6781,7.75,18,4.25,10
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,12,87.5751,45.6751,5.25,13,2.25,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,13,58.877,67.9383,1.5,3,1.25,2
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,14,216.1835,18.5028,14.5,37,6.75,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,15,137.9155,29.0033,13.0,20,6.75,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,16,62.2289,64.2788,2.75,5,2.0,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,17,89.7286,44.5789,6.25,12,3.25,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,18,160.4374,24.9318,12.75,24,6.25,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,19,196.9353,20.3112,13.5,41,5.25,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,20,161.6892,24.7388,15.25,24,6.75,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,21,224.6241,17.8075,13.75,25,8.0,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,22,236.8049,16.8915,14.5,39,6.75,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,23,249.5695,16.0276,15.75,25,9.0,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,24,194.2272,20.5944,10.0,20,5.5,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,25,117.238,34.1186,6.75,12,3.25,6
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,26,225.7585,17.718,11.75,30,5.5,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,27,94.2377,42.4459,6.25,15,2.5,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,28,239.8051,16.6802,18.0,32,10.5,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,29,166.0811,24.0846,10.25,20,5.25,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,30,210.4779,19.0044,13.5,32,6.5,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,31,206.1699,19.4015,14.5,30,6.0,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,32,85.5674,46.7468,2.5,5,2.0,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,33,186.6948,21.4253,19.25,31,7.75,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,34,179.9988,22.2224,10.5,23,5.0,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,35,183.0085,21.8569,18.25,34,7.5,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,36,184.1732,21.7187,16.25,28,7.75,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,37,102.5591,39.0019,12.25,19,5.0,6
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,38,222.6815,17.9629,13.0,33,6.5,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,39,165.2032,24.2126,9.75,24,4.25,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,40,72.6206,55.0808,4.0,6,2.5,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,41,188.2615,21.247,13.5,30,6.5,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,42,84.4879,47.344,5.25,8,3.25,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,43,193.8541,20.6341,12.75,31,5.75,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,44,229.9749,17.3932,14.5,37,7.25,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,45,252.6547,15.8319,18.25,32,9.5,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,46,86.8732,46.0441,6.5,10,3.5,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,47,160.982,24.8475,14.0,27,6.0,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,48,179.466,22.2883,15.5,32,6.25,12
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,4,49,250.9392,15.9401,18.0,32,7.75,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,0,358.2748,22.3292,13.5,33,6.875,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,1,251.9223,31.7558,9.75,23,5.125,12
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,2,274.5563,29.1379,11.125,30,5.125,12
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,3,256.2245,31.2226,8.5,26,4.0,12
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,4,136.2796,58.7029,8.875,27,3.375,6
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,5,353.0472,22.6599,13.125,33,6.625,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,6,221.9012,36.0521,9.5,21,4.875,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,7,232.2105,34.4515,8.875,23,4.875,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,8,333.2587,24.0054,10.875,30,5.375,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,9,213.2661,37.5118,7.5,19,3.875,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,10,305.2313,26.2096,16.75,32,8.375,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,11,354.6612,22.5567,18.25,39,8.375,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,12,261.2845,30.618,16.375,30,7.125,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,13,168.5609,47.4606,8.875,19,3.75,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,14,300.342,26.6363,9.875,23,4.75,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,15,165.0899,48.4584,8.625,17,4.0,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,16,253.4352,31.5663,9.875,31,4.625,12
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,17,201.4007,39.7218,7.75,18,4.0,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,18,163.6265,48.8918,7.5,18,3.5,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,19,269.374,29.6985,8.5,29,4.125,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,20,304.8662,26.241,10.75,30,5.25,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,21,177.1916,45.1489,7.5,17,4.0,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,22,316.6755,25.2624,11.875,35,5.5,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,23,261.6378,30.5766,10.125,24,5.25,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,24,319.1705,25.065,8.0,39,4.25,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,25,352.586,22.6895,12.5,33,6.75,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,26,379.7879,21.0644,10.75,39,5.875,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,27,186.2792,42.9463,10.125,18,5.125,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,28,240.147,33.3129,9.375,27,4.375,12
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,29,188.879,42.3551,10.375,20,4.625,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,30,178.3519,44.8551,8.25,24,3.375,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,31,159.1744,50.2593,6.75,13,3.125,6
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,32,256.608,31.176,9.5,22,4.75,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,33,344.5961,23.2156,14.875,36,6.75,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,34,242.1285,33.0403,9.375,23,4.875,12
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,35,341.6457,23.4161,13.75,36,6.375,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,36,230.1033,34.767,10.0,27,4.25,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,37,273.9493,29.2025,14.0,35,5.75,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,38,282.236,28.3451,12.5,31,5.25,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,39,151.1187,52.9385,9.375,19,3.75,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,40,153.5627,52.096,7.375,13,4.25,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,41,151.2481,52.8932,5.25,14,3.125,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,42,185.7258,43.0743,9.625,29,3.875,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,43,214.3867,37.3158,7.5,22,3.875,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,44,120.0649,66.6307,5.25,10,2.75,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,45,215.4731,37.1276,7.5,29,3.5,10
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,46,378.5699,21.1322,13.375,39,6.875,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,47,197.7413,40.4569,6.75,27,3.0,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,48,279.7022,28.6018,11.5,32,4.875,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,8,49,371.927,21.5096,12.25,33,6.0,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,0,291.3505,54.9167,8.1875,21,4.25,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,1,462.6996,34.5797,11.5625,36,5.8125,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,2,333.0093,48.0467,9.875,31,4.8125,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,3,374.1248,42.7665,14.5625,33,6.625,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,4,263.8936,60.6305,10.0,27,4.6875,10
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,5,243.479,65.7141,8.625,20,4.1875,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,6,411.1326,38.9169,10.875,39,5.4375,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,7,415.5575,38.5025,12.5625,39,5.9375,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,8,398.0485,40.1961,13.375,34,6.1875,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,9,414.6241,38.5892,16.6875,41,7.8125,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,10,461.7689,34.6494,9.8125,33,4.875,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,11,311.0971,51.4309,9.75,27,5.0625,12
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,12,553.7188,28.8955,12.0625,44,6.25,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,13,393.7396,40.636,11.625,37,5.5,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,14,441.8024,36.2153,9.4375,38,4.5,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,15,436.4629,36.6583,9.6875,32,5.0,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,16,461.6449,34.6587,11.6875,35,5.875,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,17,416.9842,38.3708,15.8125,39,7.625,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,18,370.5477,43.1793,11.9375,33,5.8125,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,19,357.5756,44.7458,14.8125,35,6.625,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,20,248.2472,64.4519,9.375,29,4.125,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,21,246.284,64.9657,8.125,21,3.875,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,22,372.2273,42.9845,12.0625,30,6.0625,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,23,306.7985,52.1515,8.125,26,4.1875,12
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,24,437.0092,36.6125,12.75,36,6.6875,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,25,285.9784,55.9483,7.4375,18,4.0,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,26,372.7597,42.9231,10.0,31,5.25,15
